INNOSPECTRA_NIR,ARCOPTIX_NIR,WASATCH_NIR,WASATCH_VISNIR
,1185.4,,563.86
,1185.96,,564.19
,1186.52,,564.52
,1187.08,,564.85
,1187.65,,565.19
,1188.21,,565.52
,1188.78,,565.85
,1189.34,,566.18
,1189.91,,566.51
,1190.48,,566.84
,1191.04,,567.18
,1191.61,,567.51
,1192.18,,567.84
,1192.75,,568.17
,1193.32,,568.5
,1193.89,,568.84
,1194.46,,569.17
,1195.03,,569.5
,1195.6,,569.83
,1196.17,,570.16
,1196.74,,570.49
,1197.32,,570.83
,1197.89,,571.16
,1198.47,,571.49
,1199.04,,571.82
,1199.62,,572.15
,1200.19,,572.48
,1200.77,,572.81
,1201.35,,573.15
,1201.92,,573.48
,1202.5,,573.81
,1203.08,,574.14
,1203.66,,574.47
,1204.24,,574.8
,1204.82,,575.14
,1205.4,,575.47
,1205.98,,575.8
,1206.56,,576.13
,1207.15,,576.46
,1207.73,,576.79
,1208.31,,577.12
,1208.9,,577.46
,1209.48,,577.79
,1210.07,,578.12
,1210.65,,578.45
,1211.24,,578.78
,1211.83,,579.11
,1212.42,,579.44
,1213.0,,579.78
,1213.59,,580.11
,1214.18,,580.44
,1214.77,,580.77
,1215.36,,581.1
,1215.95,,581.43
,1216.55,,581.76
,1217.14,,582.09
,1217.73,,582.43
,1218.32,,582.76
,1218.92,,583.09
,1219.51,,583.42
,1220.11,,583.75
,1220.7,,584.08
,1221.3,,584.41
,1221.9,,584.74
,1222.49,,585.08
,1223.09,,585.41
,1223.69,,585.74
,1224.29,,586.07
,1224.89,,586.4
,1225.49,,586.73
,1226.09,,587.06
,1226.69,,587.39
,1227.3,,587.73
,1227.9,,588.06
,1228.5,,588.39
,1229.11,,588.72
,1229.71,,589.05
,1230.31,,589.38
,1230.92,,589.71
,1231.53,,590.04
,1232.13,,590.37
,1232.74,,590.7
,1233.35,,591.04
,1233.96,,591.37
,1234.57,,591.7
,1235.18,,592.03
,1235.79,,592.36
,1236.4,,592.69
,1237.01,,593.02
,1237.62,,593.35
,1238.24,,593.68
,1238.85,,594.01
,1239.46,,594.34
,1240.08,,594.68
,1240.69,,595.01
,1241.31,,595.34
,1241.93,,595.67
,1242.54,,596.0
,1243.16,,596.33
,1243.78,,596.66
,1244.4,,596.99
,1245.02,,597.32
,1245.64,,597.65
,1246.26,,597.98
,1246.88,,598.31
,1247.5,,598.65
,1248.13,,598.98
,1248.75,,599.31
,1249.38,,599.64
,1250.0,,599.97
,1250.63,,600.3
,1251.25,,600.63
,1251.88,,600.96
,1252.51,,601.29
,1253.13,,601.62
,1253.76,,601.95
,1254.39,,602.28
,1255.02,,602.61
,1255.65,,602.94
,1256.28,,603.27
,1256.91,,603.6
,1257.55,,603.94
,1258.18,,604.27
,1258.81,,604.6
,1259.45,,604.93
,1260.08,,605.26
,1260.72,,605.59
,1261.35,,605.92
,1261.99,,606.25
,1262.63,,606.58
,1263.26,,606.91
,1263.9,,607.24
,1264.54,,607.57
,1265.18,,607.9
,1265.82,,608.23
,1266.46,,608.56
,1267.11,,608.89
,1267.75,,609.22
,1268.39,,609.55
,1269.04,,609.88
,1269.68,,610.21
,1270.33,,610.54
,1270.97,,610.87
,1271.62,,611.2
,1272.26,,611.53
,1272.91,,611.86
